@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
699,'2021/01/04 07:18:18:980',12,69,427,0,0,0
700,'2021/01/04 07:18:18:996',12,69,427,0,0,0
701,'2021/01/04 07:18:19:013',12,69,427,0,0,0
702,'2021/01/04 07:18:19:030',12,69,427,0,0,0
703,'2021/01/04 07:18:19:046',12,69,427,0,0,0
704,'2021/01/04 07:18:19:063',12,69,427,0,0,0
705,'2021/01/04 07:18:19:079',12,69,427,0,0,0
706,'2021/01/04 07:18:19:096',12,69,427,0,0,0
707,'2021/01/04 07:18:19:113',12,69,427,0,0,0
708,'2021/01/04 07:18:19:130',12,69,427,0,0,0
709,'2021/01/04 07:18:19:146',12,69,427,0,0,0
710,'2021/01/04 07:18:19:163',12,69,427,0,0,0
711,'2021/01/04 07:18:19:180',12,69,427,0,0,0
712,'2021/01/04 07:18:19:196',12,69,427,0,0,0
713,'2021/01/04 07:18:19:213',12,69,427,0,0,0
714,'2021/01/04 07:18:19:230',12,69,427,0,0,0
715,'2021/01/04 07:18:19:246',12,69,427,0,0,0
716,'2021/01/04 07:18:19:263',12,69,427,0,0,0
717,'2021/01/04 07:18:19:280',12,69,427,0,0,0
718,'2021/01/04 07:18:19:296',12,69,427,0,0,0
719,'2021/01/04 07:18:19:313',12,69,427,0,0,0
720,'2021/01/04 07:18:19:330',12,69,427,0,0,0
721,'2021/01/04 07:18:19:346',12,69,427,0,0,0
722,'2021/01/04 07:18:19:363',12,69,427,0,0,0
723,'2021/01/04 07:18:19:380',12,69,427,0,0,0
724,'2021/01/04 07:18:19:396',12,69,427,0,0,0
725,'2021/01/04 07:18:19:413',12,69,427,0,0,0
726,'2021/01/04 07:18:19:430',12,69,427,0,0,0
727,'2021/01/04 07:18:19:446',12,69,427,0,0,0
728,'2021/01/04 07:18:19:463',12,69,427,0,0,0
729,'2021/01/04 07:18:19:479',12,69,427,0,0,0
730,'2021/01/04 07:18:19:496',12,69,427,0,0,0
731,'2021/01/04 07:18:19:513',12,69,427,0,0,0
732,'2021/01/04 07:18:19:530',12,69,427,0,0,0
733,'2021/01/04 07:18:19:546',12,69,427,0,0,0
734,'2021/01/04 07:18:19:563',12,69,427,0,0,0
735,'2021/01/04 07:18:19:580',12,69,427,0,0,0
736,'2021/01/04 07:18:19:596',12,69,427,0,0,0
737,'2021/01/04 07:18:19:613',12,69,427,0,0,0
738,'2021/01/04 07:18:19:630',12,69,427,0,0,0
739,'2021/01/04 07:18:19:646',12,69,427,0,0,0
740,'2021/01/04 07:18:19:663',12,69,427,0,0,0
741,'2021/01/04 07:18:19:679',12,69,427,0,0,0
742,'2021/01/04 07:18:19:696',12,69,427,0,0,0
743,'2021/01/04 07:18:19:713',12,69,427,0,0,0
744,'2021/01/04 07:18:19:730',12,69,427,0,0,0
745,'2021/01/04 07:18:19:746',12,69,427,0,0,0
746,'2021/01/04 07:18:19:763',12,69,427,0,0,0
747,'2021/01/04 07:18:19:780',12,69,427,0,0,0
748,'2021/01/04 07:18:19:796',12,69,427,0,0,0
749,'2021/01/04 07:18:19:813',12,69,427,0,0,0
750,'2021/01/04 07:18:19:830',12,69,427,0,0,0
751,'2021/01/04 07:18:19:846',12,69,427,0,0,0
752,'2021/01/04 07:18:19:863',12,69,427,0,0,0
753,'2021/01/04 07:18:19:879',12,69,427,0,0,0
754,'2021/01/04 07:18:19:896',12,69,427,0,0,0
755,'2021/01/04 07:18:19:913',12,69,427,0,0,0
756,'2021/01/04 07:18:19:930',12,69,427,0,0,0
757,'2021/01/04 07:18:19:946',12,69,427,0,0,0
758,'2021/01/04 07:18:19:963',12,69,427,0,0,0
759,'2021/01/04 07:18:19:979',12,69,427,0,0,0
760,'2021/01/04 07:18:19:996',12,69,427,0,0,0
761,'2021/01/04 07:18:25:879',13,66,147,1,0,0
762,'2021/01/04 07:18:25:894',13,66,147,1,0,0
763,'2021/01/04 07:18:25:911',13,66,147,1,0,0
764,'2021/01/04 07:18:25:927',13,66,147,1,0,0
765,'2021/01/04 07:18:25:944',13,66,147,1,0,0
766,'2021/01/04 07:18:25:961',13,66,147,1,0,0
767,'2021/01/04 07:18:25:977',13,66,147,1,0,0
768,'2021/01/04 07:18:25:994',13,66,147,1,0,0
769,'2021/01/04 07:18:26:011',13,66,147,1,0,0
770,'2021/01/04 07:18:26:028',13,66,147,1,0,0
771,'2021/01/04 07:18:26:044',13,66,147,1,0,0
772,'2021/01/04 07:18:26:061',13,66,147,1,0,0
773,'2021/01/04 07:18:26:078',13,66,147,1,0,0
774,'2021/01/04 07:18:26:094',13,66,147,1,0,0
775,'2021/01/04 07:18:26:111',13,66,147,1,0,0
776,'2021/01/04 07:18:26:127',13,66,147,1,0,0
777,'2021/01/04 07:18:26:144',13,66,147,1,0,0
778,'2021/01/04 07:18:26:161',13,66,147,1,0,0
779,'2021/01/04 07:18:26:177',13,66,147,1,0,0
780,'2021/01/04 07:18:26:194',13,66,147,1,0,0
781,'2021/01/04 07:18:26:210',13,66,147,1,0,0
782,'2021/01/04 07:18:26:227',13,66,147,1,0,0
783,'2021/01/04 07:18:26:244',13,66,147,1,0,0
784,'2021/01/04 07:18:26:261',13,66,147,1,0,0
785,'2021/01/04 07:18:35:060',14,165,286,0,1,0
786,'2021/01/04 07:18:35:077',14,165,286,0,1,0
787,'2021/01/04 07:18:35:093',14,165,286,0,1,0
788,'2021/01/04 07:18:35:110',14,165,286,0,1,0
789,'2021/01/04 07:18:35:127',14,165,286,0,1,0
790,'2021/01/04 07:18:35:143',14,165,286,0,1,0
791,'2021/01/04 07:18:35:160',14,165,286,0,1,0
792,'2021/01/04 07:18:35:176',14,165,286,0,1,0
793,'2021/01/04 07:18:35:192',14,165,286,0,1,0
794,'2021/01/04 07:18:35:209',14,165,286,0,1,0
795,'2021/01/04 07:18:35:225',14,165,286,0,1,0
796,'2021/01/04 07:18:35:242',14,165,286,0,1,0
797,'2021/01/04 07:18:35:259',14,165,286,0,1,0
798,'2021/01/04 07:18:35:275',14,165,286,0,1,0
799,'2021/01/04 07:18:35:292',14,165,286,0,1,0
800,'2021/01/04 07:18:35:309',14,165,286,0,1,0
801,'2021/01/04 07:18:35:325',14,165,286,0,1,0
802,'2021/01/04 07:18:35:342',14,165,286,0,1,0
803,'2021/01/04 07:18:35:359',14,165,286,0,1,0
804,'2021/01/04 07:18:35:376',14,165,286,0,1,0
805,'2021/01/04 07:18:35:393',14,165,286,0,1,0
806,'2021/01/04 07:18:35:411',14,165,286,0,1,0
807,'2021/01/04 07:18:35:427',14,165,286,0,1,0
808,'2021/01/04 07:18:35:443',14,165,286,0,1,0
809,'2021/01/04 07:18:35:460',14,165,286,0,1,0
810,'2021/01/04 07:18:35:476',14,165,286,0,1,0
811,'2021/01/04 07:18:35:493',14,165,286,0,1,0
812,'2021/01/04 07:18:35:510',14,165,286,0,1,0
813,'2021/01/04 07:18:35:526',14,165,286,0,1,0
814,'2021/01/04 07:18:35:544',14,165,286,0,1,0
815,'2021/01/04 07:18:35:560',14,165,286,0,1,0
816,'2021/01/04 07:18:35:577',14,165,286,0,1,0
817,'2021/01/04 07:18:35:593',14,165,286,0,1,0
818,'2021/01/04 07:18:35:610',14,165,286,0,1,0
819,'2021/01/04 07:18:35:626',14,165,286,0,1,0
820,'2021/01/04 07:18:35:643',14,165,286,0,1,0
821,'2021/01/04 07:18:35:660',14,165,286,0,1,0
822,'2021/01/04 07:18:35:677',14,165,286,0,1,0
823,'2021/01/04 07:18:35:693',14,165,286,0,1,0
824,'2021/01/04 07:18:35:710',14,165,286,0,1,0
825,'2021/01/04 07:18:35:726',14,165,286,0,1,0
826,'2021/01/04 07:18:41:159',15,314,429,0,0,1
827,'2021/01/04 07:18:41:175',15,314,429,0,0,1
828,'2021/01/04 07:18:41:192',15,314,429,0,0,1
829,'2021/01/04 07:18:41:209',15,314,429,0,0,1
830,'2021/01/04 07:18:41:225',15,314,429,0,0,1
831,'2021/01/04 07:18:41:244',15,314,429,0,0,1
832,'2021/01/04 07:18:41:259',15,314,429,0,0,1
833,'2021/01/04 07:18:41:276',15,314,429,0,0,1
834,'2021/01/04 07:18:41:292',15,314,429,0,0,1
835,'2021/01/04 07:18:41:309',15,314,429,0,0,1
836,'2021/01/04 07:18:41:325',15,314,429,0,0,1
837,'2021/01/04 07:18:41:342',15,314,429,0,0,1
