@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
195,'2021/02/15 01:50:46:142',18,39,1
196,'2021/02/15 01:50:46:152',18,39,1
197,'2021/02/15 01:50:46:163',18,39,1
198,'2021/02/15 01:50:46:173',18,39,1
199,'2021/02/15 01:50:46:183',18,39,1
200,'2021/02/15 01:50:46:192',18,39,1
201,'2021/02/15 01:50:46:202',18,39,1
202,'2021/02/15 01:50:46:213',18,39,1
203,'2021/02/15 01:50:46:223',18,39,1
204,'2021/02/15 01:50:46:233',18,39,1
205,'2021/02/15 01:50:46:242',18,39,1
206,'2021/02/15 01:50:46:253',18,39,1
207,'2021/02/15 01:50:46:263',18,39,1
208,'2021/02/15 01:50:46:272',18,39,1
209,'2021/02/15 01:50:46:283',18,39,1
210,'2021/02/15 01:50:46:292',18,39,1
211,'2021/02/15 01:50:46:302',18,39,1
212,'2021/02/15 01:50:46:312',18,39,1
213,'2021/02/15 01:50:46:323',18,39,1
214,'2021/02/15 01:50:46:332',18,39,1
215,'2021/02/15 01:50:46:342',18,39,1
216,'2021/02/15 01:50:46:352',18,39,1
217,'2021/02/15 01:50:46:363',18,39,1
218,'2021/02/15 01:50:46:372',18,39,1
219,'2021/02/15 01:50:46:382',18,39,1
220,'2021/02/15 01:50:46:392',18,39,1
221,'2021/02/15 01:50:46:403',18,39,1
222,'2021/02/15 01:50:46:412',18,39,1
223,'2021/02/15 01:50:46:423',18,39,1
224,'2021/02/15 01:50:46:432',18,39,1
225,'2021/02/15 01:50:46:443',18,39,1
226,'2021/02/15 01:50:46:452',18,39,1
227,'2021/02/15 01:50:46:462',18,39,1
228,'2021/02/15 01:50:46:473',18,39,1
229,'2021/02/15 01:50:46:482',18,39,1
230,'2021/02/15 01:50:46:492',18,39,1
231,'2021/02/15 01:50:46:503',18,39,1
232,'2021/02/15 01:50:46:513',18,39,1
