@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2021/01/17 15:15:04:880',1,533,1022,0,0,0,0
2,'2021/01/17 15:15:05:032',1,535,1020,0,0,0,0
3,'2021/01/17 15:15:05:152',1,536,1023,0,0,0,0
4,'2021/01/17 15:15:05:275',1,535,1022,0,0,0,0
5,'2021/01/17 15:15:05:386',1,534,1023,0,0,0,0
6,'2021/01/17 15:15:05:504',1,536,1022,0,0,0,0
7,'2021/01/17 15:15:16:042',2,534,0,0.750647,0.007181,0.829189,0.504143
8,'2021/01/17 15:15:16:170',2,536,0,0.750647,0.007181,0.829189,0.504143
9,'2021/01/17 15:15:16:301',2,534,0,0.750647,0.007181,0.829189,0.504143
10,'2021/01/17 15:15:16:415',2,535,0,0.750647,0.007181,0.829189,0.504143
11,'2021/01/17 15:15:16:541',2,534,0,0.750647,0.007181,0.829189,0.504143
12,'2021/01/17 15:15:16:668',2,537,0,0.750647,0.007181,0.829189,0.504143
13,'2021/01/17 15:15:16:868',2,535,0,0.750647,0.007181,0.829189,0.504143
14,'2021/01/17 15:15:17:033',2,535,0,0.750647,0.007181,0.829189,0.504143
15,'2021/01/17 15:15:17:196',2,538,0,0.750647,0.007181,0.829189,0.504143
16,'2021/01/17 15:15:17:337',2,534,0,0.750647,0.007181,0.829189,0.504143
17,'2021/01/17 15:15:17:474',2,534,0,0.750647,0.007181,0.829189,0.504143
18,'2021/01/17 15:15:17:604',2,535,0,0.750647,0.007181,0.829189,0.504143
19,'2021/01/17 15:15:40:120',3,516,1022,0.210493,0.021406,0.885017,0.171715
20,'2021/01/17 15:15:40:245',3,519,1023,0.210493,0.021406,0.885017,0.171715
21,'2021/01/17 15:15:40:365',3,517,1020,0.210493,0.021406,0.885017,0.171715
22,'2021/01/17 15:15:40:502',3,517,1023,0.210493,0.021406,0.885017,0.171715
23,'2021/01/17 15:15:40:624',3,517,1023,0.210493,0.021406,0.885017,0.171715
24,'2021/01/17 15:15:40:756',3,515,1023,0.210493,0.021406,0.885017,0.171715
25,'2021/01/17 15:15:40:879',3,515,1022,0.210493,0.021406,0.885017,0.171715
26,'2021/01/17 15:15:41:000',3,516,1022,0.210493,0.021406,0.885017,0.171715
27,'2021/01/17 15:15:41:127',3,517,1021,0.210493,0.021406,0.885017,0.171715
28,'2021/01/17 15:15:41:253',3,515,1021,0.210493,0.021406,0.885017,0.171715
29,'2021/01/17 15:18:37:618',4,492,1023,0.116969,0.51,0.72,0.7
30,'2021/01/17 15:18:37:749',4,493,1021,0.116969,0.51,0.72,0.7
31,'2021/01/17 15:18:37:879',4,494,1022,0.116969,0.51,0.72,0.7
32,'2021/01/17 15:18:38:005',4,493,1023,0.116969,0.51,0.72,0.7
33,'2021/01/17 15:18:38:112',4,492,1022,0.116969,0.51,0.72,0.7
34,'2021/01/17 15:18:38:250',4,492,1022,0.116969,0.51,0.72,0.7
35,'2021/01/17 15:18:57:995',5,495,1,0.18528,0,1,0.670157
36,'2021/01/17 15:18:58:134',5,492,0,0.18528,0,1,0.670157
37,'2021/01/17 15:18:58:248',5,491,0,0.18528,0,1,0.670157
38,'2021/01/17 15:18:58:393',5,492,0,0.18528,0,1,0.670157
39,'2021/01/17 15:18:58:522',5,492,0,0.18528,0,1,0.670157
40,'2021/01/17 15:19:54:916',6,538,1023,-0.010055,-0.001866,-0.092629,-0.026898
41,'2021/01/17 15:19:55:048',6,539,1023,-0.010055,-0.001866,-0.092629,-0.026898
42,'2021/01/17 15:19:55:166',6,540,1023,-0.010055,-0.001866,-0.092629,-0.026898
43,'2021/01/17 15:19:55:298',6,541,1023,-0.010055,-0.001866,-0.092629,-0.026898
44,'2021/01/17 15:19:55:416',6,538,1022,-0.010055,-0.001866,-0.092629,-0.026898
45,'2021/01/17 15:20:13:453',7,540,1022,0,0,0,0
46,'2021/01/17 15:20:13:580',7,539,1023,0,0,0,0
47,'2021/01/17 15:20:13:698',7,540,1021,0,0,0,0
48,'2021/01/17 15:20:13:841',7,543,1022,0,0,0,0
49,'2021/01/17 15:20:13:949',7,539,1023,0,0,0,0
50,'2021/01/17 15:20:14:106',7,542,1023,0,0,0,0
51,'2021/01/17 15:20:14:233',7,542,1022,0,0,0,0
52,'2021/01/17 15:20:14:366',7,542,1022,0,0,0,0
53,'2021/01/17 15:20:14:516',7,540,1023,0,0,0,0
54,'2021/01/17 15:20:14:640',7,540,1021,0,0,0,0
55,'2021/01/17 15:20:14:766',7,540,1022,0,0,0,0
56,'2021/01/17 15:20:14:898',7,539,1023,0,0,0,0
57,'2021/01/17 15:20:15:047',7,542,1021,0,0,0,0
58,'2021/01/17 15:20:15:165',7,542,1022,0,0,0,0
59,'2021/01/17 15:20:15:299',7,540,1021,0,0,0,0
60,'2021/01/17 15:20:15:446',7,542,1023,0,0,0,0
61,'2021/01/17 15:20:15:569',7,542,1023,0,0,0,0
62,'2021/01/17 15:20:15:672',7,541,1022,0,0,0,0
63,'2021/01/17 15:20:15:802',7,539,1023,0,0,0,0
64,'2021/01/17 15:20:15:928',7,542,1022,0,0,0,0
65,'2021/01/17 15:20:16:039',7,542,1021,0,0,0,0
66,'2021/01/17 15:20:16:176',7,540,1023,0,0,0,0
67,'2021/01/17 15:20:16:293',7,539,1023,0,0,0,0
